learning_rate,batch_size,num_epochs,optimizer,dropout_rate,l2_weight,val_accuracy,training_time
0.003,16,60,sgd,0.3,1e-05,0.14122137404580154,212.06382584571838
0.0001,16,60,adam,0.5,1e-05,0.1297709923664122,128.83894896507263
0.003,16,60,sgd,0.5,0.01,0.12468193384223919,200.54949760437012
0.0001,16,60,adam,0.0,1e-05,0.12468193384223919,152.47544026374817
0.003,16,60,sgd,0.0,1e-05,0.1183206106870229,170.11210346221924
0.0001,64,60,adam,0.5,0.01,0.11195928753180662,161.957763671875
0.0001,16,60,adam,0.3,1e-05,0.10559796437659033,138.34641861915588
0.0001,64,60,adam,0.3,1e-05,0.10432569974554708,79.92596626281738
0.003,16,60,sgd,0.3,0.01,0.10178117048346055,189.61954140663147
0.003,16,60,sgd,0.5,1e-05,0.09923664122137404,108.27668929100037
0.0001,64,60,adam,0.3,0.01,0.09796437659033079,109.36996579170227
0.0001,16,60,adam,0.3,0.01,0.09287531806615776,138.33733105659485
0.0001,16,60,adam,0.0,0.01,0.0916030534351145,100.43178510665894
0.0001,64,60,adam,0.0,1e-05,0.09033078880407125,76.41005635261536
0.003,64,60,sgd,0.3,1e-05,0.08269720101781171,89.55075430870056
0.0001,64,60,adam,0.0,0.01,0.08142493638676845,73.10387420654297
0.003,64,60,sgd,0.0,1e-05,0.07888040712468193,99.07702088356018
0.003,16,60,sgd,0.0,0.01,0.07888040712468193,93.13615798950195
0.0001,16,60,adam,0.5,0.01,0.07506361323155217,114.66109108924866
0.003,64,60,sgd,0.0,0.01,0.07124681933842239,102.23624753952026
0.003,64,60,sgd,0.3,0.01,0.06997455470737914,104.93061518669128
0.0001,64,60,adam,0.5,1e-05,0.06743002544529263,69.94143772125244
0.003,64,60,sgd,0.5,0.01,0.026717557251908396,57.525150299072266
0.003,64,60,sgd,0.5,1e-05,0.026717557251908396,41.75767755508423
0.0001,16,60,sgd,0.0,1e-05,0.019083969465648856,69.84117555618286
0.0001,16,60,sgd,0.3,1e-05,0.01653944020356234,58.33544659614563
0.0001,16,60,sgd,0.5,0.01,0.010178117048346057,23.71280813217163
0.0001,16,60,sgd,0.0,0.01,0.010178117048346057,27.59037208557129
0.0001,64,60,sgd,0.5,0.01,0.010178117048346057,19.814008235931396
0.0001,64,60,sgd,0.3,1e-05,0.010178117048346057,19.838621616363525
0.0001,64,60,sgd,0.5,1e-05,0.008905852417302799,38.59881854057312
0.0001,16,60,sgd,0.5,1e-05,0.007633587786259542,35.24052929878235
0.0001,16,60,sgd,0.3,0.01,0.007633587786259542,50.65175676345825
0.003,16,60,adam,0.3,0.01,0.006361323155216285,38.68407487869263
0.003,64,60,adam,0.5,1e-05,0.006361323155216285,23.733822345733643
0.003,64,60,adam,0.3,0.01,0.006361323155216285,30.331427812576294
0.003,16,60,adam,0.3,1e-05,0.006361323155216285,33.99906921386719
0.003,64,60,adam,0.3,1e-05,0.005089058524173028,23.820300340652466
0.003,16,60,adam,0.0,1e-05,0.003816793893129771,29.155542850494385
0.0001,64,60,sgd,0.0,0.01,0.003816793893129771,19.911094427108765
0.003,16,60,adam,0.0,0.01,0.003816793893129771,43.4173743724823
0.003,64,60,adam,0.0,0.01,0.003816793893129771,37.00925326347351
0.003,16,60,adam,0.5,0.01,0.003816793893129771,29.145448684692383
0.0001,64,60,sgd,0.0,1e-05,0.002544529262086514,19.86210560798645
0.003,16,60,adam,0.5,1e-05,0.002544529262086514,29.129520654678345
0.0001,64,60,sgd,0.3,0.01,0.002544529262086514,22.866520404815674
0.003,64,60,adam,0.0,1e-05,0.002544529262086514,36.93871259689331
0.003,64,60,adam,0.5,0.01,0.001272264631043257,20.498950481414795
